LAYER
10 13
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
03,03,03,03,03,03,03,03,03,03,
LAYER
10 13
04,04,04,04,04,04,04,04,04,04,
04,00,00,00,00,00,00,00,00,04,
04,00,00,00,00,00,00,02,00,04,
04,00,00,00,00,00,00,00,00,04,
04,00,00,04,04,04,04,04,04,04,
04,00,00,00,00,00,00,00,00,04,
04,00,00,00,00,00,00,00,00,04,
04,00,00,00,00,00,00,00,00,04,
04,04,04,04,04,04,04,00,00,04,
04,00,00,00,00,00,00,00,00,04,
04,00,01,00,00,00,00,00,00,04,
04,00,00,00,00,00,00,00,00,04,
04,04,04,04,04,04,04,04,04,04,
